,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,pos,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
4250,his,retir,will,MD,lowercase,will,NN,lowercase,retirement,PRP$,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,193,capitalized,His,O
4251,retir,will,leav,VB,lowercase,leave,MD,lowercase,will,NN,O,his,PRP$,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,His,193,lowercase,retirement,O
4252,will,leav,open,JJ,lowercase,open,VB,lowercase,leave,MD,O,retir,NN,O,his,PRP$,capitalized,His,lowercase,retirement,193,lowercase,will,O
4253,leav,open,what,WP,lowercase,what,JJ,lowercase,open,VB,O,will,MD,O,retir,NN,lowercase,retirement,lowercase,will,193,lowercase,leave,O
4254,open,what,would,MD,lowercase,would,WP,lowercase,what,JJ,O,leav,VB,O,will,MD,lowercase,will,lowercase,leave,193,lowercase,open,O
4255,what,would,have,VB,lowercase,have,MD,lowercase,would,WP,O,open,JJ,O,leav,VB,lowercase,leave,lowercase,open,193,lowercase,what,O
4256,would,have,been,VBN,lowercase,been,VB,lowercase,have,MD,O,what,WP,O,open,JJ,lowercase,open,lowercase,what,193,lowercase,would,O
4257,have,been,a,DT,lowercase,a,VBN,lowercase,been,VB,O,would,MD,O,what,WP,lowercase,what,lowercase,would,193,lowercase,have,O
4258,been,a,relat,RB,lowercase,relatively,DT,lowercase,a,VBN,O,have,VB,O,would,MD,lowercase,would,lowercase,have,193,lowercase,been,O
4259,a,relat,safe,JJ,lowercase,safe,RB,lowercase,relatively,DT,O,been,VBN,O,have,VB,lowercase,have,lowercase,been,193,lowercase,a,O
4260,relat,safe,seat,NN,lowercase,seat,JJ,lowercase,safe,RB,O,a,DT,O,been,VBN,lowercase,been,lowercase,a,193,lowercase,relatively,O
4261,safe,seat,for,IN,lowercase,for,NN,lowercase,seat,JJ,O,relat,RB,O,a,DT,lowercase,a,lowercase,relatively,193,lowercase,safe,O
4262,seat,for,republican,NNS,capitalized,Republicans,IN,lowercase,for,NN,O,safe,JJ,O,relat,RB,lowercase,relatively,lowercase,safe,193,lowercase,seat,O
4263,for,republican,in,IN,lowercase,in,NNS,capitalized,Republicans,IN,O,seat,NN,O,safe,JJ,lowercase,safe,lowercase,seat,193,lowercase,for,O
4264,republican,in,the,DT,lowercase,the,IN,lowercase,in,NNS,O,for,IN,O,seat,NN,lowercase,seat,lowercase,for,193,capitalized,Republicans,O
4265,in,the,fight,NN,lowercase,fight,DT,lowercase,the,IN,O,republican,NNS,O,for,IN,lowercase,for,capitalized,Republicans,193,lowercase,in,O
4266,the,fight,for,IN,lowercase,for,NN,lowercase,fight,DT,O,in,IN,O,republican,NNS,capitalized,Republicans,lowercase,in,193,lowercase,the,O
4267,fight,for,senat,NNP,capitalized,Senate,IN,lowercase,for,NN,O,the,DT,O,in,IN,lowercase,in,lowercase,the,193,lowercase,fight,O
4268,for,senat,control,NN,lowercase,control,NNP,capitalized,Senate,IN,O,fight,NN,O,the,DT,lowercase,the,lowercase,fight,193,lowercase,for,O
4269,senat,control,in,IN,lowercase,in,NN,lowercase,control,NNP,O,for,IN,O,fight,NN,lowercase,fight,lowercase,for,193,capitalized,Senate,B-org
4270,control,in,the,DT,lowercase,the,IN,lowercase,in,NN,B-org,senat,NNP,O,for,IN,lowercase,for,capitalized,Senate,193,lowercase,control,O
4271,in,the,elect,NNS,lowercase,elections,DT,lowercase,the,IN,O,control,NN,B-org,senat,NNP,capitalized,Senate,lowercase,control,193,lowercase,in,O
4272,the,elect,.,.,punct,.,NNS,lowercase,elections,DT,O,in,IN,O,control,NN,lowercase,control,lowercase,in,193,lowercase,the,O
4273,elect,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,the,DT,O,in,IN,lowercase,in,lowercase,the,193,lowercase,elections,O
4274,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,elect,NNS,O,the,DT,lowercase,the,lowercase,elections,193,punct,.,O
4275,democrat,will,now,RB,lowercase,now,MD,lowercase,will,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,194,capitalized,Democrats,O
4276,will,now,have,VB,lowercase,have,RB,lowercase,now,MD,O,democrat,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Democrats,194,lowercase,will,O
4277,now,have,a,DT,lowercase,a,VB,lowercase,have,RB,O,will,MD,O,democrat,NNS,capitalized,Democrats,lowercase,will,194,lowercase,now,O
4278,have,a,better,JJR,lowercase,better,DT,lowercase,a,VB,O,now,RB,O,will,MD,lowercase,will,lowercase,now,194,lowercase,have,O
4279,a,better,chanc,NN,lowercase,chance,JJR,lowercase,better,DT,O,have,VB,O,now,RB,lowercase,now,lowercase,have,194,lowercase,a,O
4280,better,chanc,to,TO,lowercase,to,NN,lowercase,chance,JJR,O,a,DT,O,have,VB,lowercase,have,lowercase,a,194,lowercase,better,O
4281,chanc,to,protect,VB,lowercase,protect,TO,lowercase,to,NN,O,better,JJR,O,a,DT,lowercase,a,lowercase,better,194,lowercase,chance,O
4282,to,protect,or,CC,lowercase,or,VB,lowercase,protect,TO,O,chanc,NN,O,better,JJR,lowercase,better,lowercase,chance,194,lowercase,to,O
4283,protect,or,expand,VB,lowercase,expand,CC,lowercase,or,VB,O,to,TO,O,chanc,NN,lowercase,chance,lowercase,to,194,lowercase,protect,O
4284,or,expand,their,PRP$,lowercase,their,VB,lowercase,expand,CC,O,protect,VB,O,to,TO,lowercase,to,lowercase,protect,194,lowercase,or,O
4285,expand,their,one-seat,JJ,contains-hyphen,one-seat,PRP$,lowercase,their,VB,O,or,CC,O,protect,VB,lowercase,protect,lowercase,or,194,lowercase,expand,O
4286,their,one-seat,major,NN,lowercase,majority,JJ,contains-hyphen,one-seat,PRP$,O,expand,VB,O,or,CC,lowercase,or,lowercase,expand,194,lowercase,their,O
4287,one-seat,major,in,IN,lowercase,in,NN,lowercase,majority,JJ,O,their,PRP$,O,expand,VB,lowercase,expand,lowercase,their,194,contains-hyphen,one-seat,O
4288,major,in,the,DT,lowercase,the,IN,lowercase,in,NN,O,one-seat,JJ,O,their,PRP$,lowercase,their,contains-hyphen,one-seat,194,lowercase,majority,O
4289,in,the,senat,NNP,capitalized,Senate,DT,lowercase,the,IN,O,major,NN,O,one-seat,JJ,contains-hyphen,one-seat,lowercase,majority,194,lowercase,in,O
4290,the,senat,.,.,punct,.,NNP,capitalized,Senate,DT,O,in,IN,O,major,NN,lowercase,majority,lowercase,in,194,lowercase,the,O
4291,senat,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,the,DT,O,in,IN,lowercase,in,lowercase,the,194,capitalized,Senate,B-org
4292,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-org,senat,NNP,O,the,DT,lowercase,the,capitalized,Senate,194,punct,.,O
4293,when,he,leav,VBZ,lowercase,leaves,PRP,lowercase,he,WRB,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,195,capitalized,When,O
4294,he,leav,offic,NN,lowercase,office,VBZ,lowercase,leaves,PRP,O,when,WRB,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,When,195,lowercase,he,O
4295,leav,offic,",",",",punct,",",NN,lowercase,office,VBZ,O,he,PRP,O,when,WRB,capitalized,When,lowercase,he,195,lowercase,leaves,O
4296,offic,",",the,DT,lowercase,the,",",punct,",",NN,O,leav,VBZ,O,he,PRP,lowercase,he,lowercase,leaves,195,lowercase,office,O
4297,",",the,80-year-old,JJ,number,80-year-old,DT,lowercase,the,",",O,offic,NN,O,leav,VBZ,lowercase,leaves,lowercase,office,195,punct,",",O
4298,the,80-year-old,former,JJ,lowercase,former,JJ,number,80-year-old,DT,O,",",",",O,offic,NN,lowercase,office,punct,",",195,lowercase,the,O
4299,80-year-old,former,navi,NNP,capitalized,Navy,JJ,lowercase,former,JJ,O,the,DT,O,",",",",punct,",",lowercase,the,195,number,80-year-old,O
4300,former,navi,secretari,NN,lowercase,secretary,NNP,capitalized,Navy,JJ,O,80-year-old,JJ,O,the,DT,lowercase,the,number,80-year-old,195,lowercase,former,O
4301,navi,secretari,will,MD,lowercase,will,NN,lowercase,secretary,NNP,O,former,JJ,O,80-year-old,JJ,number,80-year-old,lowercase,former,195,capitalized,Navy,B-org
4302,secretari,will,have,VB,lowercase,have,MD,lowercase,will,NN,B-org,navi,NNP,O,former,JJ,lowercase,former,capitalized,Navy,195,lowercase,secretary,O
4303,will,have,serv,VBN,lowercase,served,VB,lowercase,have,MD,O,secretari,NN,B-org,navi,NNP,capitalized,Navy,lowercase,secretary,195,lowercase,will,O
4304,have,serv,30,CD,number,30,VBN,lowercase,served,VB,O,will,MD,O,secretari,NN,lowercase,secretary,lowercase,will,195,lowercase,have,O
4305,serv,30,year,NNS,lowercase,years,CD,number,30,VBN,O,have,VB,O,will,MD,lowercase,will,lowercase,have,195,lowercase,served,O
4306,30,year,as,IN,lowercase,as,NNS,lowercase,years,CD,O,serv,VBN,O,have,VB,lowercase,have,lowercase,served,195,number,30,O
4307,year,as,a,DT,lowercase,a,IN,lowercase,as,NNS,O,30,CD,O,serv,VBN,lowercase,served,number,30,195,lowercase,years,O
4308,as,a,u.s.,NNP,abbreviation,U.S.,DT,lowercase,a,IN,O,year,NNS,O,30,CD,number,30,lowercase,years,195,lowercase,as,O
4309,a,u.s.,senat,NN,lowercase,senator,NNP,abbreviation,U.S.,DT,O,as,IN,O,year,NNS,lowercase,years,lowercase,as,195,lowercase,a,O
4310,u.s.,senat,.,.,punct,.,NN,lowercase,senator,NNP,O,a,DT,O,as,IN,lowercase,as,lowercase,a,195,abbreviation,U.S.,B-gpe
4311,senat,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,B-gpe,u.s.,NNP,O,a,DT,lowercase,a,abbreviation,U.S.,195,lowercase,senator,O
4312,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,senat,NN,B-gpe,u.s.,NNP,abbreviation,U.S.,lowercase,senator,195,punct,.,O
4313,the,unit,nation,NNP,capitalized,Nations,NNP,capitalized,United,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,196,capitalized,The,O
4314,unit,nation,say,VBZ,lowercase,says,NNP,capitalized,Nations,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,196,capitalized,United,B-org
4315,nation,say,decemb,NNP,capitalized,December,VBZ,lowercase,says,NNP,B-org,unit,NNP,O,the,DT,capitalized,The,capitalized,United,196,capitalized,Nations,I-org
4316,say,decemb,'s,POS,other,'s,NNP,capitalized,December,VBZ,I-org,nation,NNP,B-org,unit,NNP,capitalized,United,capitalized,Nations,196,lowercase,says,O
4317,decemb,'s,indian,NNP,capitalized,Indian,POS,other,'s,NNP,O,say,VBZ,I-org,nation,NNP,capitalized,Nations,lowercase,says,196,capitalized,December,B-tim
4318,'s,indian,ocean,NNP,capitalized,Ocean,NNP,capitalized,Indian,POS,B-tim,decemb,NNP,O,say,VBZ,lowercase,says,capitalized,December,196,other,'s,O
4319,indian,ocean,tsunami,NN,lowercase,tsunami,NNP,capitalized,Ocean,NNP,O,'s,POS,B-tim,decemb,NNP,capitalized,December,other,'s,196,capitalized,Indian,B-geo
4320,ocean,tsunami,caus,VBD,lowercase,caused,NN,lowercase,tsunami,NNP,B-geo,indian,NNP,O,'s,POS,other,'s,capitalized,Indian,196,capitalized,Ocean,I-geo
4321,tsunami,caus,around,IN,lowercase,around,VBD,lowercase,caused,NN,I-geo,ocean,NNP,B-geo,indian,NNP,capitalized,Indian,capitalized,Ocean,196,lowercase,tsunami,O
4322,caus,around,$,$,punct,$,IN,lowercase,around,VBD,O,tsunami,NN,I-geo,ocean,NNP,capitalized,Ocean,lowercase,tsunami,196,lowercase,caused,O
4323,around,$,520,CD,number,520,$,punct,$,IN,O,caus,VBD,O,tsunami,NN,lowercase,tsunami,lowercase,caused,196,lowercase,around,O
4324,$,520,million,CD,lowercase,million,CD,number,520,$,O,around,IN,O,caus,VBD,lowercase,caused,lowercase,around,196,punct,$,O
4325,520,million,in,IN,lowercase,in,CD,lowercase,million,CD,O,$,$,O,around,IN,lowercase,around,punct,$,196,number,520,O
4326,million,in,damag,NN,lowercase,damage,IN,lowercase,in,CD,O,520,CD,O,$,$,punct,$,number,520,196,lowercase,million,O
4327,in,damag,to,TO,lowercase,to,NN,lowercase,damage,IN,O,million,CD,O,520,CD,number,520,lowercase,million,196,lowercase,in,O
4328,damag,to,fish,NN,lowercase,fishing,TO,lowercase,to,NN,O,in,IN,O,million,CD,lowercase,million,lowercase,in,196,lowercase,damage,O
4329,to,fish,industri,NNS,lowercase,industries,NN,lowercase,fishing,TO,O,damag,NN,O,in,IN,lowercase,in,lowercase,damage,196,lowercase,to,O
4330,fish,industri,in,IN,lowercase,in,NNS,lowercase,industries,NN,O,to,TO,O,damag,NN,lowercase,damage,lowercase,to,196,lowercase,fishing,O
4331,industri,in,seven,CD,lowercase,seven,IN,lowercase,in,NNS,O,fish,NN,O,to,TO,lowercase,to,lowercase,fishing,196,lowercase,industries,O
4332,in,seven,of,IN,lowercase,of,CD,lowercase,seven,IN,O,industri,NNS,O,fish,NN,lowercase,fishing,lowercase,industries,196,lowercase,in,O
4333,seven,of,the,DT,lowercase,the,IN,lowercase,of,CD,O,in,IN,O,industri,NNS,lowercase,industries,lowercase,in,196,lowercase,seven,O
4334,of,the,worst,RBS,lowercase,worst,DT,lowercase,the,IN,O,seven,CD,O,in,IN,lowercase,in,lowercase,seven,196,lowercase,of,O
4335,the,worst,hit,VBN,lowercase,hit,RBS,lowercase,worst,DT,O,of,IN,O,seven,CD,lowercase,seven,lowercase,of,196,lowercase,the,O
4336,worst,hit,countri,NNS,lowercase,countries,VBN,lowercase,hit,RBS,O,the,DT,O,of,IN,lowercase,of,lowercase,the,196,lowercase,worst,O
4337,hit,countri,.,.,punct,.,NNS,lowercase,countries,VBN,O,worst,RBS,O,the,DT,lowercase,the,lowercase,worst,196,lowercase,hit,O
4338,countri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,hit,VBN,O,worst,RBS,lowercase,worst,lowercase,hit,196,lowercase,countries,O
4339,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,countri,NNS,O,hit,VBN,lowercase,hit,lowercase,countries,196,punct,.,O
4340,the,u.n.,'s,POS,other,'s,NNP,abbreviation,U.N.,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,197,capitalized,The,O
4341,u.n.,'s,food,NNP,capitalized,Food,POS,other,'s,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,197,abbreviation,U.N.,B-org
4342,'s,food,and,CC,lowercase,and,NNP,capitalized,Food,POS,B-org,u.n.,NNP,O,the,DT,capitalized,The,abbreviation,U.N.,197,other,'s,O
4343,food,and,agricultur,NNP,capitalized,Agricultural,CC,lowercase,and,NNP,O,'s,POS,B-org,u.n.,NNP,abbreviation,U.N.,other,'s,197,capitalized,Food,B-org
4344,and,agricultur,organ,NNP,capitalized,Organization,NNP,capitalized,Agricultural,CC,B-org,food,NNP,O,'s,POS,other,'s,capitalized,Food,197,lowercase,and,I-org
4345,agricultur,organ,(,LRB,punct,(,NNP,capitalized,Organization,NNP,I-org,and,CC,B-org,food,NNP,capitalized,Food,lowercase,and,197,capitalized,Agricultural,I-org
4346,organ,(,fao,NNP,uppercase,FAO,LRB,punct,(,NNP,I-org,agricultur,NNP,I-org,and,CC,lowercase,and,capitalized,Agricultural,197,capitalized,Organization,I-org
4347,(,fao,),RRB,punct,),NNP,uppercase,FAO,LRB,I-org,organ,NNP,I-org,agricultur,NNP,capitalized,Agricultural,capitalized,Organization,197,punct,(,O
4348,fao,),said,VBD,lowercase,said,RRB,punct,),NNP,O,(,LRB,I-org,organ,NNP,capitalized,Organization,punct,(,197,uppercase,FAO,B-org
4349,),said,the,DT,lowercase,the,VBD,lowercase,said,RRB,B-org,fao,NNP,O,(,LRB,punct,(,uppercase,FAO,197,punct,),O
4350,said,the,tsunami,NN,lowercase,tsunami,DT,lowercase,the,VBD,O,),RRB,B-org,fao,NNP,uppercase,FAO,punct,),197,lowercase,said,O
4351,the,tsunami,destroy,VBD,lowercase,destroyed,NN,lowercase,tsunami,DT,O,said,VBD,O,),RRB,punct,),lowercase,said,197,lowercase,the,O
4352,tsunami,destroy,or,CC,lowercase,or,VBD,lowercase,destroyed,NN,O,the,DT,O,said,VBD,lowercase,said,lowercase,the,197,lowercase,tsunami,O
4353,destroy,or,damag,VBD,lowercase,damaged,CC,lowercase,or,VBD,O,tsunami,NN,O,the,DT,lowercase,the,lowercase,tsunami,197,lowercase,destroyed,O
4354,or,damag,more,JJR,lowercase,more,VBD,lowercase,damaged,CC,O,destroy,VBD,O,tsunami,NN,lowercase,tsunami,lowercase,destroyed,197,lowercase,or,O
4355,damag,more,than,IN,lowercase,than,JJR,lowercase,more,VBD,O,or,CC,O,destroy,VBD,lowercase,destroyed,lowercase,or,197,lowercase,damaged,O
4356,more,than,"1,11,000",CD,number,"1,11,000",IN,lowercase,than,JJR,O,damag,VBD,O,or,CC,lowercase,or,lowercase,damaged,197,lowercase,more,O
4357,than,"1,11,000",fish,NN,lowercase,fishing,CD,number,"1,11,000",IN,O,more,JJR,O,damag,VBD,lowercase,damaged,lowercase,more,197,lowercase,than,O
4358,"1,11,000",fish,vessel,NNS,lowercase,vessels,NN,lowercase,fishing,CD,O,than,IN,O,more,JJR,lowercase,more,lowercase,than,197,number,"1,11,000",O
4359,fish,vessel,in,IN,lowercase,in,NNS,lowercase,vessels,NN,O,"1,11,000",CD,O,than,IN,lowercase,than,number,"1,11,000",197,lowercase,fishing,O
4360,vessel,in,the,DT,lowercase,the,IN,lowercase,in,NNS,O,fish,NN,O,"1,11,000",CD,number,"1,11,000",lowercase,fishing,197,lowercase,vessels,O
4361,in,the,region,NN,lowercase,region,DT,lowercase,the,IN,O,vessel,NNS,O,fish,NN,lowercase,fishing,lowercase,vessels,197,lowercase,in,O
4362,the,region,.,.,punct,.,NN,lowercase,region,DT,O,in,IN,O,vessel,NNS,lowercase,vessels,lowercase,in,197,lowercase,the,O
4363,region,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,the,DT,O,in,IN,lowercase,in,lowercase,the,197,lowercase,region,O
4364,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,region,NN,O,the,DT,lowercase,the,lowercase,region,197,punct,.,O
4365,it,said,the,DT,lowercase,the,VBD,lowercase,said,PRP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,198,capitalized,It,O
4366,said,the,loss,NN,lowercase,loss,DT,lowercase,the,VBD,O,it,PRP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,It,198,lowercase,said,O
4367,the,loss,was,VBD,lowercase,was,NN,lowercase,loss,DT,O,said,VBD,O,it,PRP,capitalized,It,lowercase,said,198,lowercase,the,O
4368,loss,was,signific,JJ,lowercase,significant,VBD,lowercase,was,NN,O,the,DT,O,said,VBD,lowercase,said,lowercase,the,198,lowercase,loss,O
4369,was,signific,in,IN,lowercase,in,JJ,lowercase,significant,VBD,O,loss,NN,O,the,DT,lowercase,the,lowercase,loss,198,lowercase,was,O
4370,signific,in,a,DT,lowercase,a,IN,lowercase,in,JJ,O,was,VBD,O,loss,NN,lowercase,loss,lowercase,was,198,lowercase,significant,O
4371,in,a,region,NN,lowercase,region,DT,lowercase,a,IN,O,signific,JJ,O,was,VBD,lowercase,was,lowercase,significant,198,lowercase,in,O
4372,a,region,where,WRB,lowercase,where,NN,lowercase,region,DT,O,in,IN,O,signific,JJ,lowercase,significant,lowercase,in,198,lowercase,a,O
4373,region,where,fish,NN,lowercase,fishing,WRB,lowercase,where,NN,O,a,DT,O,in,IN,lowercase,in,lowercase,a,198,lowercase,region,O
4374,where,fish,provid,VBZ,lowercase,provides,NN,lowercase,fishing,WRB,O,region,NN,O,a,DT,lowercase,a,lowercase,region,198,lowercase,where,O
4375,fish,provid,a,DT,lowercase,a,VBZ,lowercase,provides,NN,O,where,WRB,O,region,NN,lowercase,region,lowercase,where,198,lowercase,fishing,O
4376,provid,a,vital,JJ,lowercase,vital,DT,lowercase,a,VBZ,O,fish,NN,O,where,WRB,lowercase,where,lowercase,fishing,198,lowercase,provides,O
4377,a,vital,sourc,NN,lowercase,source,JJ,lowercase,vital,DT,O,provid,VBZ,O,fish,NN,lowercase,fishing,lowercase,provides,198,lowercase,a,O
4378,vital,sourc,of,IN,lowercase,of,NN,lowercase,source,JJ,O,a,DT,O,provid,VBZ,lowercase,provides,lowercase,a,198,lowercase,vital,O
4379,sourc,of,food,NN,lowercase,food,IN,lowercase,of,NN,O,vital,JJ,O,a,DT,lowercase,a,lowercase,vital,198,lowercase,source,O
4380,of,food,.,.,punct,.,NN,lowercase,food,IN,O,sourc,NN,O,vital,JJ,lowercase,vital,lowercase,source,198,lowercase,of,O
4381,food,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,of,IN,O,sourc,NN,lowercase,source,lowercase,of,198,lowercase,food,O
4382,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,food,NN,O,of,IN,lowercase,of,lowercase,food,198,punct,.,O
4383,the,fao,'s,POS,other,'s,NNP,uppercase,FAO,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,199,capitalized,The,O
4384,fao,'s,estim,NN,lowercase,estimate,POS,other,'s,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,199,uppercase,FAO,B-org
4385,'s,estim,includ,VBZ,lowercase,includes,NN,lowercase,estimate,POS,B-org,fao,NNP,O,the,DT,capitalized,The,uppercase,FAO,199,other,'s,O
4386,estim,includ,damag,NN,lowercase,damage,VBZ,lowercase,includes,NN,O,'s,POS,B-org,fao,NNP,uppercase,FAO,other,'s,199,lowercase,estimate,O
4387,includ,damag,to,TO,lowercase,to,NN,lowercase,damage,VBZ,O,estim,NN,O,'s,POS,other,'s,lowercase,estimate,199,lowercase,includes,O
4388,damag,to,fish,NN,lowercase,fishing,TO,lowercase,to,NN,O,includ,VBZ,O,estim,NN,lowercase,estimate,lowercase,includes,199,lowercase,damage,O
4389,to,fish,industri,NNS,lowercase,industries,NN,lowercase,fishing,TO,O,damag,NN,O,includ,VBZ,lowercase,includes,lowercase,damage,199,lowercase,to,O
4390,fish,industri,in,IN,lowercase,in,NNS,lowercase,industries,NN,O,to,TO,O,damag,NN,lowercase,damage,lowercase,to,199,lowercase,fishing,O
4391,industri,in,indonesia,NNP,capitalized,Indonesia,IN,lowercase,in,NNS,O,fish,NN,O,to,TO,lowercase,to,lowercase,fishing,199,lowercase,industries,O
4392,in,indonesia,",",",",punct,",",NNP,capitalized,Indonesia,IN,O,industri,NNS,O,fish,NN,lowercase,fishing,lowercase,industries,199,lowercase,in,O
4393,indonesia,",",maldiv,NNP,capitalized,Maldives,",",punct,",",NNP,O,in,IN,O,industri,NNS,lowercase,industries,lowercase,in,199,capitalized,Indonesia,B-geo
4394,",",maldiv,",",",",punct,",",NNP,capitalized,Maldives,",",B-geo,indonesia,NNP,O,in,IN,lowercase,in,capitalized,Indonesia,199,punct,",",O
4395,maldiv,",",somalia,NNP,capitalized,Somalia,",",punct,",",NNP,O,",",",",B-geo,indonesia,NNP,capitalized,Indonesia,punct,",",199,capitalized,Maldives,B-geo
4396,",",somalia,",",",",punct,",",NNP,capitalized,Somalia,",",B-geo,maldiv,NNP,O,",",",",punct,",",capitalized,Maldives,199,punct,",",O
4397,somalia,",",sri,NNP,capitalized,Sri,",",punct,",",NNP,O,",",",",B-geo,maldiv,NNP,capitalized,Maldives,punct,",",199,capitalized,Somalia,B-geo
4398,",",sri,lanka,NNP,capitalized,Lanka,NNP,capitalized,Sri,",",B-geo,somalia,NNP,O,",",",",punct,",",capitalized,Somalia,199,punct,",",O
4399,sri,lanka,and,CC,lowercase,and,NNP,capitalized,Lanka,NNP,O,",",",",B-geo,somalia,NNP,capitalized,Somalia,punct,",",199,capitalized,Sri,B-geo
4400,lanka,and,thailand,NNP,capitalized,Thailand,CC,lowercase,and,NNP,B-geo,sri,NNP,O,",",",",punct,",",capitalized,Sri,199,capitalized,Lanka,I-geo
4401,and,thailand,.,.,punct,.,NNP,capitalized,Thailand,CC,I-geo,lanka,NNP,B-geo,sri,NNP,capitalized,Sri,capitalized,Lanka,199,lowercase,and,O
4402,thailand,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,and,CC,I-geo,lanka,NNP,capitalized,Lanka,lowercase,and,199,capitalized,Thailand,B-geo
4403,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,thailand,NNP,O,and,CC,lowercase,and,capitalized,Thailand,199,punct,.,O
4404,the,agenc,say,VBZ,lowercase,says,NN,lowercase,agency,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,200,capitalized,The,O
4405,agenc,say,it,PRP,lowercase,it,VBZ,lowercase,says,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,200,lowercase,agency,O
4406,say,it,has,VBZ,lowercase,has,PRP,lowercase,it,VBZ,O,agenc,NN,O,the,DT,capitalized,The,lowercase,agency,200,lowercase,says,O
4407,it,has,sent,VBN,lowercase,sent,VBZ,lowercase,has,PRP,O,say,VBZ,O,agenc,NN,lowercase,agency,lowercase,says,200,lowercase,it,O
4408,has,sent,expert,NNS,lowercase,experts,VBN,lowercase,sent,VBZ,O,it,PRP,O,say,VBZ,lowercase,says,lowercase,it,200,lowercase,has,O
4409,sent,expert,to,TO,lowercase,to,NNS,lowercase,experts,VBN,O,has,VBZ,O,it,PRP,lowercase,it,lowercase,has,200,lowercase,sent,O
4410,expert,to,help,VB,lowercase,help,TO,lowercase,to,NNS,O,sent,VBN,O,has,VBZ,lowercase,has,lowercase,sent,200,lowercase,experts,O
4411,to,help,rebuild,VB,lowercase,rebuild,VB,lowercase,help,TO,O,expert,NNS,O,sent,VBN,lowercase,sent,lowercase,experts,200,lowercase,to,O
4412,help,rebuild,fish,NN,lowercase,fishing,VB,lowercase,rebuild,VB,O,to,TO,O,expert,NNS,lowercase,experts,lowercase,to,200,lowercase,help,O
4413,rebuild,fish,industri,NN,lowercase,industry,NN,lowercase,fishing,VB,O,help,VB,O,to,TO,lowercase,to,lowercase,help,200,lowercase,rebuild,O
4414,fish,industri,infrastructur,NN,lowercase,infrastructure,NN,lowercase,industry,NN,O,rebuild,VB,O,help,VB,lowercase,help,lowercase,rebuild,200,lowercase,fishing,O
4415,industri,infrastructur,lost,VBN,lowercase,lost,NN,lowercase,infrastructure,NN,O,fish,NN,O,rebuild,VB,lowercase,rebuild,lowercase,fishing,200,lowercase,industry,O
4416,infrastructur,lost,in,IN,lowercase,in,VBN,lowercase,lost,NN,O,industri,NN,O,fish,NN,lowercase,fishing,lowercase,industry,200,lowercase,infrastructure,O
4417,lost,in,the,DT,lowercase,the,IN,lowercase,in,VBN,O,infrastructur,NN,O,industri,NN,lowercase,industry,lowercase,infrastructure,200,lowercase,lost,O
